,dipole
101,COC(=O)[CH-][NH+]=C(C#N)C#N
102,CNC(=O)C(C#N)=[N+](C)[C-](C(=O)NC)C(=O)NC
103,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C(=O)OC
104,CNC(=O)C(C#N)=[N+](C)[CH-]C(=O)OC
105,CNC(=O)C=[NH+][CH-]c1ccccc1
106,CNC(=O)C(C(=O)NC)=[N+](C)[CH-]C(=O)OC
107,COC(=O)[CH-][N+](C)=C(c1ccccc1)c1ccccc1
108,CC(C)=[N+](C)[C-](C#N)c1ccccc1
109,CNC(=O)C(C#N)=[N+](C)[C-](C(=O)NC)c1ccccc1
110,C[C-](C#N)[N+](C)=Cc1ccccc1
111,CC(=O)C(=[O+][C-](C#N)C(C)=O)C(C)=O
112,CC(=O)[C-]([O+]=C(C)C#N)c1ccccc1
113,CC(=O)C=[NH+][C-](C)C#N
114,CC=[N+](C)[NH-]
115,CC(=O)[N-][N+](C)=C(C(C)=O)C(C)=O
116,C[N-][O+]=C(C#N)C(C)=O
117,CNC(=O)[C-](C)[O+]=C(C(=O)OC)c1ccccc1
118,CNC(=O)C(C)=[NH+][CH-]C#N
119,COC(=O)[C-]([NH+]=CC(C)=O)C(=O)OC
120,COC(=O)N=[N+](C)[N-]C(C)=O
121,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(=O)OC
122,COC(=O)[C-]([O+]=C(C#N)C#N)c1ccccc1
123,COC(=O)[N-][NH+]=C(C#N)C(=O)OC
124,COC(=O)[CH-][N+](C)=C(C)C#N
125,CNC(=O)N=[N+](C)[N-]C(=O)OC
126,CNC(=O)C(C)=[N+](C)[C-](C)c1ccccc1
127,COC(=O)[C-]([NH+]=C(C)c1ccccc1)C(=O)OC
128,CC(=O)C=[O+][N-]c1ccccc1
129,CC(=O)C(C#N)=[NH+][NH-]
130,CC(=O)C=[NH+][CH-]C#N
131,CC(=O)N=[O+][N-]c1ccccc1
132,CC(=O)C=[NH+][C-](C)C
133,CNC(=O)C(C#N)=[O+][NH-]
134,C[CH-][O+]=C(C)c1ccccc1
135,CC(=O)[N-][NH+]=Nc1ccccc1
136,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)C
137,CNC(=O)[C-](C)[NH+]=C(C)C#N
138,CC=[N+](C)[N-]c1ccccc1
139,COC(=O)[CH-][NH+]=C(C)C#N
140,COC(=O)[N-][O+]=C(C(C)=O)C(=O)OC
141,C[N-][N+](C)=C(C(=O)OC)c1ccccc1
142,[CH2-][NH+]=C(C#N)c1ccccc1
143,CC=[NH+][C-](C(=O)NC)C(=O)NC
144,CNC(=O)C(C)=[N+](C)[C-](C#N)C(C)=O
145,CNC(=O)C(C#N)=[O+][C-](C)C(C)=O
146,COC(=O)C(C)=[O+][O-]
147,CNC(=O)[C-]([O+]=C(C(C)=O)C(C)=O)c1ccccc1
148,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C#N)C#N
149,COC(=O)C(C#N)=[O+][C-](C(C)=O)c1ccccc1
150,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
151,CNC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
152,C[N-][O+]=NC(=O)NC
153,CNC(=O)[C-](C)[NH+]=C(C(=O)OC)C(=O)OC
154,CC(=O)[CH-][O+]=CC#N
155,CNC(=O)[C-]([O+]=C(C#N)C(=O)OC)C(=O)OC
156,CC(C#N)=[O+][CH-]c1ccccc1
157,COC(=O)C(=[O+][CH-]c1ccccc1)C(C)=O
158,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C
159,CNC(=O)[C-]([O+]=C(C#N)c1ccccc1)C(=O)NC
160,C[N-][N+](C)=C(C#N)C#N
161,CNC(=O)C(=[O+][C-](C(=O)OC)c1ccccc1)C(C)=O
162,[CH2-][NH+]=CC
163,CC(C)=[O+][N-]C#N
164,C[N+](=C(C#N)c1ccccc1)[C-](C#N)C#N
165,CNC(=O)C(=[O+][N-]C(=O)OC)C(C)=O
166,CNC(=O)[CH-][NH+]=CC(=O)OC
167,CC(=O)[C-](C)[NH+]=C(C)C
168,C[CH-][N+](C)=C(c1ccccc1)c1ccccc1
169,CNC(=O)[C-]([NH+]=C(C)C(C)=O)C(=O)OC
170,CNC(=O)C(C#N)=[N+](C)[CH-]C(=O)OC
171,CNC(=O)C(=[NH+][N-]c1ccccc1)C(=O)OC
172,N#C[CH-][NH+]=C(c1ccccc1)c1ccccc1
173,C[CH-][N+](C)=C(C)C(=O)OC
174,CNC(=O)C=[N+](C)[C-](C#N)C#N
175,CNC(=O)C(=[O+][N-]C#N)C(=O)OC
176,C[N-][NH+]=C(C)C
177,CNC(=O)[C-](C(=O)NC)[N+](C)=CC(=O)OC
178,CC=[N+](C)[N-]C(=O)NC
179,CC(=O)C(C)=[NH+][C-](C(C)=O)C(C)=O
180,CC(=O)N=[N+](C)[N-]C#N
181,CC(C#N)=[O+][C-](C)C
182,[CH2-][O+]=CC(=O)OC
183,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
184,N#CC(=[O+][C-](C#N)C#N)c1ccccc1
185,CNC(=O)C=[NH+][C-](C)C(=O)OC
186,CNC(=O)[C-]([NH+]=C(C#N)c1ccccc1)C(=O)OC
187,CNC(=O)[N-][O+]=C(C(C)=O)C(C)=O
188,CNC(=O)C=[NH+][C-](C#N)C(=O)NC
189,CNC(=O)C(=[NH+][C-](C#N)C#N)C(=O)NC
190,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
191,CNC(=O)[C-]([O+]=C(C(=O)OC)c1ccccc1)C(C)=O
192,C[N-][NH+]=C(C)C(=O)NC
193,COC(=O)C(=[O+][NH-])c1ccccc1
194,COC(=O)C(=[O+][C-](C#N)C(=O)OC)c1ccccc1
195,C(=[NH+][C-](c1ccccc1)c1ccccc1)c1ccccc1
196,CC(=O)[C-](C)[N+](C)=C(C)c1ccccc1
197,CNC(=O)C(=[O+][C-](C#N)C#N)C(=O)OC
198,COC(=O)[N-][NH+]=Cc1ccccc1
199,CC(=O)C(=[O+][NH-])C(C)=O
200,CC(C)=[N+](C)[C-](C#N)C#N
201,CC=[N+](C)[CH-]C(=O)NC
202,CNC(=O)[C-](C(=O)NC)[N+](C)=CC#N
203,COC(=O)C(c1ccccc1)=[N+](C)[NH-]
204,CNC(=O)C=[NH+][C-](C)C
205,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)C(C)=O
206,COC(=O)C(C#N)=[N+](C)[NH-]
207,CNC(=O)[C-]([NH+]=C(C(C)=O)c1ccccc1)C(C)=O
208,COC(=O)C(=[O+][C-](C#N)C#N)c1ccccc1
209,CNC(=O)C(C(=O)OC)=[N+](C)[CH-]C(C)=O
210,CNC(=O)[C-](C)[O+]=C(C(=O)OC)C(=O)OC
211,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)C(=O)OC
212,CNC(=O)C=[O+][C-](C)C#N
213,CC(=O)C(C(C)=O)=[N+](C)[N-]c1ccccc1
214,COC(=O)C(=[NH+][N-]C(C)=O)C(=O)OC
215,CC(C#N)=[N+](C)[C-](C)C
216,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
217,CNC(=O)[CH-][NH+]=CC(C)=O
218,C=[N+](C)[N-]C(=O)OC
219,COC(=O)[C-]([NH+]=CC#N)C(C)=O
220,COC(=O)C(C#N)=[N+](C)[C-](C)C
