,dipole
100,CNC(=O)C=[O+][C-](C(=O)NC)c1ccccc1
101,COC(=O)[C-](C(C)=O)[N+](C)=Cc1ccccc1
102,CNC(=O)N=[N+](C)[N-]C#N
103,CC(=O)C(C)=[O+][C-](C#N)C(C)=O
104,C[N-][N+](C)=C(C(=O)NC)C(=O)OC
105,CNC(=O)C(C#N)=[O+][CH-]C#N
106,CNC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(=O)OC
107,CNC(=O)[CH-][NH+]=C(C(=O)NC)C(=O)NC
108,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
109,COC(=O)[C-]([O+]=C(C#N)C#N)c1ccccc1
110,CC=[O+][C-](C)C
111,COC(=O)C(C(C)=O)=[N+](C)[N-]C(C)=O
112,CNC(=O)[CH-][O+]=CC(=O)OC
113,CNC(=O)[C-](C#N)[O+]=CC#N
114,CNC(=O)C=[NH+][C-](C(=O)NC)c1ccccc1
115,CC(=O)[C-]([NH+]=Cc1ccccc1)c1ccccc1
116,CC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)C(C)=O
117,CNC(=O)C(=[O+][C-](C(=O)NC)c1ccccc1)C(=O)OC
118,CC(=O)[C-]([O+]=C(C)C#N)c1ccccc1
119,CC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)C(C)=O
120,COC(=O)[N-][N+](C)=C(C(C)=O)c1ccccc1
121,CNC(=O)C(C#N)=[N+](C)[N-]C(=O)OC
122,COC(=O)C(C#N)=[O+][N-]C#N
123,CNC(=O)C(=[O+][N-]C(C)=O)c1ccccc1
124,CNC(=O)[N-][NH+]=C(C#N)C(=O)OC
125,CC(C)=[N+](C)[C-](C)C
126,CC(=O)N=[O+][NH-]
127,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)c1ccccc1
128,CC(=O)C(C#N)=[N+](C)[NH-]
129,CC(=O)C(C)=[O+][C-](C)C
130,CC(=O)C(C)=[N+](C)[C-](C)c1ccccc1
131,CNC(=O)[N-][N+](C)=CC(=O)OC
132,C=[N+](C)[N-]C
133,CNC(=O)C(C#N)=[N+](C)[CH-]C(=O)OC
134,COC(=O)C(C#N)=[O+][C-](C(=O)OC)C(=O)OC
135,CNC(=O)C(C)=[O+][CH-]C#N
136,COC(=O)C(C#N)=[NH+][C-](C(=O)OC)c1ccccc1
137,COC(=O)[C-]([NH+]=C(C)C(C)=O)C(=O)OC
138,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C#N
139,COC(=O)[N-][NH+]=C(C#N)C(C)=O
140,C=[NH+][C-](C(C)=O)c1ccccc1
141,CNC(=O)C(C)=[N+](C)[C-](C)C#N
142,COC(=O)[C-](C)[O+]=C(C(C)=O)c1ccccc1
143,CC(=O)[C-]([NH+]=Cc1ccccc1)C(C)=O
144,CC=[NH+][CH-]C(C)=O
145,C[C-](C#N)[NH+]=Cc1ccccc1
146,CC(=O)C(C)=[O+][C-](C#N)C(C)=O
147,C[C-](C#N)[O+]=C(C#N)C#N
148,CNC(=O)[C-](C)[N+](C)=C(C#N)C(C)=O
149,CC(=O)C(C)=[O+][N-]c1ccccc1
