,dipolarophile
118,FC(F)(F)/C(=C(\c1ccccc1)C(F)(F)F)c1ccccc1
119,C=C(C(=O)OC)C(=O)OC
120,COC(=O)C(C(=O)OC)=C(Cl)Cl
121,CC(=O)/C(=C(/C(C)=O)C(F)(F)F)C(F)(F)F
122,CO/C(C(C)=O)=C(/OC)C(C)=O
123,CC(=O)/C(=C(/C(C)=O)C(F)(F)F)C(F)(F)F
124,FC(F)(F)/C(=C(\c1ccccc1)C(F)(F)F)c1ccccc1
125,COC(=O)C=C(C(=O)OC)C(=O)OC
126,C/C(Br)=C(\C)Br
127,BrC(Br)=C(c1ccccc1)c1ccccc1
128,CO/C(C#N)=C(\C#N)OC
129,COC(OC)=C(F)F
130,CC(=O)C(C#N)=C(C#N)C#N
131,COC(=O)/C(Br)=C(/Br)C(=O)OC
132,CC(=O)C(Br)=C(C(C)=O)C(C)=O
133,CC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
134,CO/C(Cl)=C(/Cl)OC
135,CNC(=O)C(C(=O)NC)=C(OC)OC
136,COC(OC)=C(C(C)=O)C(C)=O
137,CC(=O)/C(=C(\C(C)=O)c1ccccc1)c1ccccc1
138,CNC(=O)C=C(C(=O)NC)C(=O)NC
139,COC(=O)C(C(=O)OC)=C(Cl)Cl
140,CO/C(Br)=C(/Br)OC
141,COC(Br)=C(Br)Br
142,COC(=O)C(C(C)=O)=C(C(=O)OC)C(=O)OC
143,CC(C#N)=C(C#N)C#N
144,COC(=O)C(OC)=C(OC)OC
145,COC(Cl)=C(OC)OC
146,CNC(=O)C(C(=O)NC)=C(Br)Br
147,CNC(=O)C(Br)=C(Br)Br
148,CC(C)=C(C)c1ccccc1
149,CC(C)=C(c1ccccc1)c1ccccc1
150,CC(=O)C(C(C)=O)=C(C(C)=O)c1ccccc1
151,COC(=O)C=C(C(=O)OC)C(=O)OC
152,Cl/C(=C(/Cl)c1ccccc1)c1ccccc1
153,ClC(Cl)=C(Cl)c1ccccc1
