,dipolarophile
120,CC(=O)/C=C/C(C)=O
121,CC(=O)/C(=C(\C(C)=O)c1ccccc1)c1ccccc1
122,F/C(=C(\F)c1ccccc1)c1ccccc1
123,CC(=O)/C=C\C(C)=O
124,CC(C)=C(C)Cl
125,C=C(c1ccccc1)c1ccccc1
126,CNC(=O)/C(Cl)=C(\Cl)C(=O)NC
127,CC(C)=C(C)F
128,COC(=O)C(C(=O)OC)=C(OC)OC
129,CC(=O)C(C(C)=O)=C(c1ccccc1)c1ccccc1
130,CNC(=O)C(C(=O)NC)=C(OC)OC
131,COC(=O)/C(C#N)=C(/C#N)C(=O)OC
132,COC(OC)=C(C(C)=O)C(C)=O
133,CNC(=O)C(C)=C(C)C
134,CNC(=O)/C(C#N)=C(\C#N)C(=O)NC
135,CO/C(Br)=C(\Br)OC
136,COC(=O)C=C(C(=O)OC)C(=O)OC
137,C=C(OC)OC
138,CC(=O)C(F)=C(C(C)=O)C(C)=O
139,COC(=O)/C(F)=C(\F)C(=O)OC
140,C/C(=C(/C)c1ccccc1)c1ccccc1
141,CC(=C(c1ccccc1)c1ccccc1)c1ccccc1
142,FC(F)(F)C(=C(c1ccccc1)c1ccccc1)C(F)(F)F
143,CO/C=C\OC
144,F/C(=C(/F)c1ccccc1)c1ccccc1
145,COC(=O)C(C(=O)OC)=C(C(C)=O)C(C)=O
146,COC(=O)/C(C)=C(/C)C(=O)OC
147,C/C(C#N)=C(/C)C#N
148,CNC(=O)C(C(=O)NC)=C(C(=O)NC)C(=O)OC
149,C=COC
150,CO/C(C(C)=O)=C(/OC)C(C)=O
151,CO/C(=C(\OC)C(F)(F)F)C(F)(F)F
152,CC(C)=C(C)C#N
153,CC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
154,COC(Br)=C(Br)Br
155,CC(Cl)=C(Cl)Cl
156,CO/C(Br)=C(/Br)OC
157,COC(=O)C(OC)=C(C(=O)OC)C(=O)OC
158,COC(=O)C(C)=C(C)C
159,C=CC
160,CC(=O)C(C(C)=O)=C(C(C)=O)c1ccccc1
161,CC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
162,CO/C(C)=C(\C)OC
163,CNC(=O)C(Cl)=C(Cl)Cl
164,CC(=O)C(Cl)=C(C(C)=O)C(C)=O
165,CNC(=O)/C(=C(\C(=O)NC)C(F)(F)F)C(F)(F)F
166,CC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
167,CC(=O)/C(=C(\C(C)=O)C(F)(F)F)C(F)(F)F
168,C/C=C/C
169,CC(C)=C(F)F
170,CC(=O)C=C(C(C)=O)C(C)=O
171,CNC(=O)C(C(=O)NC)=C(c1ccccc1)c1ccccc1
172,C=CC(=O)OC
